stop_id,stop_name,stop_lat,stop_lon
301752,R. Dr. Nilo Cairo,-23.411945,-46.814012
301753,R. Dr. Nilo Cairo,-23.412929,-46.812521
301754,R. Dr. Nilo Cairo,-23.412863,-46.812424
301755,"R. Vitorino Carmilo, 246",-23.414096,-46.811976
301756,"R. Vitorino Carmilo, 250",-23.413987,-46.812136
301758,R. Albert Jansen,-23.448309,-46.789070
301759,R. Albert Jansen,-23.448333,-46.789289
301760,"R. Leopoldo De Passos Lima, 182",-23.430304,-46.788996
301761,"Estr. De Perus, 1100",-23.415978,-46.780547
301763,"R. Delsuc Alves De Magalhães, 265",-23.435651,-46.788797
301764,"R. Delsuc Alves De Magalhães, 194",-23.435371,-46.788466
301765,"R. Francisco Bellazi, 109",-23.449766,-46.789055
301766,"R. Francisco Bellazi, 92",-23.449565,-46.788813
301767,"R. Mário Palmerio, 186",-23.438745,-46.791071
301768,"Av. Da Solidariedade, 24",-23.437188,-46.805763
301771,R. Lagoa Do Morro,-23.444382,-46.799485
301772,"R. Recife, 73",-23.434499,-46.809806
301774,"Estr. Cel. José Gladiador, 551",-23.437657,-46.793129
404584,"Av. Mons. Antônio De Castro, 676",-23.571981,-46.523664
404590,"Av. Cipriano Rodrigues, 149",-23.576176,-46.527952
404592,"Av. Cipriano Rodrigues, 908",-23.577240,-46.525866
404595,"Av. Cipriano Rodrigues, 1160",-23.576888,-46.523800
404596,"Av. Cipriano Rodrigues, 63",-23.573317,-46.532700
404597,"Av. Cipriano Rodrigues, 127",-23.576448,-46.521348
404598,"Av. Dos Nacionalistas, 347",-23.576618,-46.517049
404599,"Av. Dos Nacionalistas, 386",-23.576674,-46.516937
404602,"Av. Dos Nacionalistas, 459",-23.577058,-46.515625
404643,"Av. Dos Nacionalistas, 640",-23.577613,-46.514679
404724,"Av. Pst. Cicero Canuto De Lima, 762",-23.580063,-46.504954
404729,"Av. Pst. Cicero Canuto De Lima, 249",-23.579897,-46.510115
404732,"Av. Pst. Cicero Canuto De Lima, 285",-23.580064,-46.509688
404733,"Av. Pst. Cicero Canuto De Lima, 10",-23.579372,-46.512362
404734,"Av. Dos Nacionalistas, 920",-23.579305,-46.512646
404735,"R. Dos Fonsecas, 171",-23.579529,-46.507970
408848,"Av. Aricanduva, 4630",-23.560732,-46.512487
408989,"Av. João XxIII, 1386",-23.569976,-46.528901
408991,"R. Tuma Maluly, 85",-23.585338,-46.510764
408997,"Av. Pst. Cicero Canuto De Lima, 489",-23.579998,-46.507414
409027,"R. Tuma Maluly, 87",-23.588900,-46.509993
409046,"R. Manuel Figueiredo, 238",-23.574463,-46.520820
409048,Parada 2,-23.565554,-46.507811
409050,"Av. Inconfidência Mineira, 1997",-23.570684,-46.509236
409051,"Av. Francisco José Rezende, 138",-23.567969,-46.507183
409052,"Av. Odilon Pires, 235",-23.565666,-46.509179
409054,"R. João Galli, 45",-23.583640,-46.525041
409058,"R. Nello Selmi Dei, 44",-23.580389,-46.509825
409059,"Av. Rio Das Pedras, 1458",-23.567642,-46.510367
409060,"R. Manuel Figueiredo, 42",-23.573251,-46.523695
409061,"Av. Mons. Antônio De Castro, 685",-23.571969,-46.523548
409063,"R. Amélia Vanso Magnoli, 120",-23.588035,-46.508930
409065,"R. Ailton Negrão Fazzio, 124",-23.578603,-46.523300
409066,"Av. Itaquera, 89",-23.558077,-46.521137
409067,"R. Pedro Rabelo, 209",-23.582085,-46.506931
409068,"R. Nsa. Sra. Das Dores, 637",-23.571502,-46.532016
409069,"R. Nsa. Sra. Das Dores, 630",-23.571537,-46.532021
409070,"R. Amélia Vanso Magnoli, 310",-23.585432,-46.507579
409071,"R. Rufino Fernandes Inivarri, 69",-23.587564,-46.506406
508317,"R. Pe. Tomás De Vilanova, 229",-23.547110,-46.483431
508319,"R. Pe. Tomás De Vilanova, 229",-23.547255,-46.483514
508327,"R. Pe. Jerônimo Machado, 61",-23.543028,-46.481501
508334,"R. Dr. Campos Moura, 95",-23.540380,-46.485364
508354,"R. Saturnino De Souza, 525",-23.548225,-46.493777
508370,"R. Maciel Monteiro, 807",-23.542374,-46.492537
508379,"R. Maciel Monteiro, 151",-23.537277,-46.490357
508684,"R. Sonho Gaúcho, 50",-23.525840,-46.480781
508687,"R. Sonho Gaúcho, 502",-23.524382,-46.476618
508709,"R. Sino Vitória, 45",-23.529354,-46.479919
508991,"Av. Eng. João Baptista Aranha, 135",-23.550522,-46.493206
509010,"Av. Cânio Lettiere, 0",-23.534743,-46.492756
509013,"R. Pe. Gabriel De Campos, 49",-23.549836,-46.487287
509014,"R. Pe. Gabriel De Campos, 71",-23.549641,-46.487087
509015,"R. Juazeiro Do Norte, 313",-23.529268,-46.487692
509017,"R. Iborepi, 111",-23.532782,-46.484453
509020,"R. Juazeiro Do Norte, 298",-23.529547,-46.487538
509021,"R. Juazeiro Do Norte, 610",-23.526775,-46.487821
509022,"Av. Águia De Haia, 1815",-23.530005,-46.474051
509023,"Av. Águia De Haia, 1637",-23.531595,-46.473721
509026,Terminal Metrô Artur Alvim,-23.540692,-46.482933
509027,"R. S. Vitório, 569",-23.548178,-46.496007
509028,"R. Juciri, 130",-23.541320,-46.476053
509029,"R. S. Vitório, 25",-23.544057,-46.495311
509030,"R. S. Vitório, 697",-23.549165,-46.495993
509031,"R. S. Vitório, 562",-23.548091,-46.496016
509033,R. Dr. Xavier De Oliveira,-23.549443,-46.495920
509034,"R. Des. Rocha Portela, 1065",-23.539675,-46.488622
